N п/п;Название;Адрес, местоположение, кадастровый номер (при наличии);Зарегистрированные права;Примечание
163;"Скульптурная композиция ""Танец""";Автозаводский район, ул. Революционная (земельный участок с кадастровым номером 63:09:0101160:511);Земельный участок исключен из муниципальной собственности - территория многоквартирного дома. Скульптура является движимым имуществом. В силу прямого указания закона (Постановление ВС РФ 3020-1 от 27.12.1991) объекты благоустройства являются муниципальной собственностью, как самостоятельные объекты учета в реестре муниципальной собственности не числятся. Отдельного оформления не требуется;
164;"Скульптурная композиция ""На берегу""";Территория Парка Победы в Автозаводском районе (земельный участок с кадастровым номером 63:09:0101177:5);"Муниципальная собственность. В бессрочном пользовании МБУ ""Парки города""";
165;"Монументальная декоративно-скульптурная композиция ""Транспорт""";Автозаводский район, северо-западнее здания, имеющего адрес: ул. Революционная, 19, строение 1 (земельный участок с кадастровым номером 63:09:0101164:521);Муниципальная собственность;Пароход
166;"Монументальная декоративно-скульптурная композиция ""Транспорт""";Автозаводский район, северо-западнее здания, имеющего адрес: ул. Революционная, 19 (земельный участок с кадастровым номером 63:09:0101164:521);Муниципальная собственность;Воздушный шар
167;"Монументальная декоративно-скульптурная композиция ""Транспорт""";Автозаводский район, юго-западнее здания, имеющего адрес: ул. Революционная, 13;Муниципальная собственность;Паровоз
168;"Памятник ""Военнослужащим, погибшим при исполнении воинского долга""";Автозаводский район, западнее здания, имеющего адрес: ул. Революционная, 19 (земельный участок с кадастровым номером 63:09:0101164:1798);Муниципальная собственность;
169;Камень, установленный Ротари-клуб;Севернее Дворца бракосочетания, ул. Революционная, 25 (земельный участок с кадастровым номером 63:09:0101173:59);Муниципальная собственность. Постоянное (бессрочное) пользование Дворец культуры и техники ВАЗа;
170;"Городская скульптура ""Признание в любви""";Ул. Революционная, 25, севернее Дворца бракосочетания (земельный участок с кадастровым номером 63:09:0101173:59);Муниципальная собственность. Постоянное (бессрочное) пользование Дворец культуры и техники ВАЗа;
171;Монумент Славы;Автозаводский район, северо-восточнее здания (Лит. А), имеющего адрес: ул. Юбилейная, 24 (земельный участок с кадастровым номером 63:09:0101177:5);Муниципальная собственность, оперативное управление, бессрочное пользование;
172;Самоходная установка, танк, орудие;Территория Парка Победы (земельный участок с кадастровым номером 63:09:0101177:5);"Собственность муниципального образования У МБУ г.о. Тольятти ""Парки города"" на праве постоянного (бессрочного) пользования";
