Регистрационный номер маршрута;Порядковый номер маршрута;Наименование маршрута;Наименование промежуточных ОП по маршруту;Наименование улиц, автомобильных дорог, по которым предполагается движение ТС между ОП по маршруту;Протяженность маршрута, км;Порядок посадки и высадки пассажиров;Вид регулярных перевозок;Вид ТС ;Класс ТС;Экологические характерис-тики ТС;Максимальный срок эксплуата-ции ТС;Наличие низкого пола;Наличие оборудования для перевозки пассажиров из числа инвалидов;Наличие электрон-ного информа-ционного табло;Максимальное количество ТС  каждого класса, которое допускается использовать для перевозок по маршруту;Дата начала осуществления регулярных перевозок
105;№ 30в;ОП Дворец детского творчества –  ОП ЦЗЧ-2;Дворец детского творчества, Музыкальная школа, Детский мир, 7 квартал, 3б квартал, Телецентр, к/т Ставрополь, 4 квартал, Театральная, пр-т Ст. Разина, Лицей искусств, Рынок, Южная база, Спецавтоцентр, Инженерный центр, Энергетическая, Автозаводстрой, Кузнечно-прессовый цех, Чугунно-литейный цех, Ремонтно-кузнечный цех, 10 КПП, Прессовое производство, ППИ, ОС ВАЗа, Заготовительная фабрика, ПТО, ЦЗЧ-2;пр-т Ст. Разина, ул. Дзержинского, ул. Борковская, ул. Вокзальная, ул. Цеховая, ул. Северная;15,9;Только в установленных ОП;По регулируемым тарифам;Автобус;"БК
";Не ниже ЕВРО-3;Не более 15 лет;да;да;да;8;01.06.2026
106;№ 35в;ОП Набережная – ОП ЦЗЧ-2;Набережная, Лыжная база, Профилакторий Прилесье, д/с Лесной голосок, д/с Елочка, д/с Веселая семейка, д/с Соловушка, д/с Дубравушка, б-р Здоровья, Детская больница, Медгородок, ул. 40 лет Победы, Заводская, 12 квартал, Молодежная, Школа № 82,  Студенческая, Кафе Встреча, ул. Полякова, Автопарковая, АвтоВАЗтранс, УВД, Восточное кольцо, Инженерный центр, Энергетическая, Кузнечно-прессовый цех, Чугунно-литейный цех, Ремонтно-кузнечный цех, 10 КПП, Прессовое производство, База УМТС, ППИ, ОС ВАЗа, Заготовительная фабрика, ПТО, ЦЗЧ-2;ул.Спортивная, ул. Жукова, ул. 40 лет Победы, ул. Автостроителей, ул. 70 лет Октября, ул. Полякова, Южное шоссе, ул. Борковская, ул. Вокзальная, ул. Цеховая, ул.Северная;19,6;Только в установленных ОП;По регулируемым тарифам;Автобус;"СК
БК";Не ниже ЕВРО-3;Не более 15 лет;да;да;да;"1
6";01.06.2026
;;35/36 ОП Набережная - ОП Инженерный центр/ОП ЦЗЧ-2 - ОП Набережная;"прямое направление: Набережная, Лыжная база, Профилакторий Прилесье, д/с Лесной голосок, д/с Елочка, д/с Веселая семейка, д/с Соловушка, д/с Дубравушка, Б-р Здоровья, Детская больница, Медгородок, 40 лет Победы, Заводская, 12 квартал, Молодежная, Школа 82, Студенческая, Кафе Встреча, Полякова, Автопарковая, Автовазтранс, УВД, Восточное кольцо, Автоваз-ТО, Машиностроительный колледж, Управление кадров ВАЗа, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ, Производство пластмассовых изделий, База УМТС, Прессовое производство, 10 КПП, Ремонтно-кузнечный цех, Чугунно-литейный цех, Кузнечно-прессовый цех, Автозаводстрой, Энергетическая, Инженерный центр;                                          обратное направление: ЦЗЧ-2, Волжский машиностроительный завод, Заготовительная фабрика, Очистные сооружения ВАЗа, Производство пластмассовых изделий, База УМТС, Прессовое производство, 10 КПП, Ремонтно-кузнечный цех, Чугунно-литейный цех, Кузнечно-прессовый цех, Автозаводстрой, Энергетическая, Инженерный центр, Автоваз-ТО, Машиностроительный колледж, Управление кадров ВАЗа, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ, Восточное кольцо, УВД, Автовазтранс, Автопарковая, Полякова, Кафе Встреча, Студенческая, Школа 82, Молодежная, 12 квартал,  Заводская, 40 лет Победы, Медгородок, Детская больница, Б-р Здоровья, д/с Дубравушка, д/с Соловушка, д/с Веселая семейка, д/с Елочка, д/с Лесной голосок, Профилакторий Прилесье, Лыжная база, Набережная    ";прямое направление: ул.Спортивная, ул.Жукова, ул. 40 лет Победы, ул. Автостроителей, ул. 70 лет Октября, ул. Полякова, Южное шоссе, ул. Цеховая, ул. Вокзальная,ул.  Борковская            обратное направление: ул.Северная, ул.Цеховая, ул. Вокзальная, ул. Борковская,Южное шоссе,разворот на ОП КВЦ, Южное шоссе, ул. Полякова, ул. 70 лет Октября, ул.  Автостроителей, ул. 40 лет Победы,ул.Жукова, ул.Спортивная;27,0;;;;;;;;;;;
107;№ 37в;ОП Медучилище – ОП КВЦ;Медучилище, Школа № 70, 14-А квартал, 14 квартал, Строительная, 16 квартал, ул. Автостроителей (прямое направление), б-р Космонавтов, Общежитие Современник (обратное направление), 15 квартал, Дом офицеров, ул. Полякова Автопарковая, АвтоВАЗтранс, УВД, Восточное кольцо, АВТОВАЗ-ТО, Машиностроительный колледж, Управление кадров, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ;ул.40 лет Победы, ул. Дзержинского, ул. Ворошилова, ул. Полякова, Южное шоссе;13,0;Только в установленных ОП;По регулируемым тарифам;Автобус;"СК
БК
";Не ниже ЕВРО-3;Не более 15 лет;да;да;да;"2
4
";01.06.2026
;;37/38 ОП Медучилище - ОП Инженерный центр/ОП ЦЗЧ-2-ОП Медучилище;в прямом направлении: ОП Медучилище, ОП Школа №70, ОП 14-й А квартал, ОП 14 квартал, ОП Строительная, ОП 16-й квартал, ОП Автостроителей, ОП бульвар Космонавтов, ОП Современник, ОП 15-й квартал, ОП Дом Офицеров, ОП ул. Полякова, ОП Автопарковая, ОП АвтоВАЗтранс, ОП УВД, ОП Восточное кольцо, ОП АВТОВАЗ-ТО, ОП Машиностроительный колледж, ОП Управление кадров, ОП Медсанчасть, ОП 7 вставка, ОП 5 вставка, ОП 3 вставка, ОП 1 вставка, ОП КВЦ ВАЗа, ОП Производство пластмассовых изделий , ОП База УМТС, ОП Прессовое производство, ОП 10 КПП, ОП Ремонтно-кузнечный цех, ОП Чугунно-литейный цех, ОП Кузнечно-прессовый цех, ОП Автозаводстрой, ОП Энергетическая, ОП Инженерный центр.                                                                                                                          в обратном направлении: ЦЗЧ-2, ПТО,  Заготовительная фабрика, Очистные сооружения ВАЗа, Производство пластмассовых изделий, База УМТС, Прессовое производство, 10 КПП,  Ремонтно-кузнечный цех, Чугунно-литейный цех, Кузнечно-прессовый цех, Автозаводстрой,  Энергетическая, Инженерный цех, АВТОВАЗ-ТО, Машиностроительный колледж,  Управление кадров,  Медсанчасть,  7 вставка, 5 вставка, 3 вставка,  1 вставка, КВЦ ВАЗа, Восточное кольцо, УВД, АвтоВАЗтранс, Автопарковая,  ул. Полякова,  Дом офицеров,  15-й квартал,  Современник, бульвар Космонавтов, Автостроителей, 16-й квартал, Строительная, 14 квартал, 14-й А квартал, Школа №70, Медучилище.;"прямое направление: ул. 40 лет Победы, ул. Дзержинского, ул. Ворошилова, ул. Полякова, Южное шоссе, ул. Цеховая, ул. Вокзальная, ул. Борковская      обратное направление:  ул.Северная, ул.Цеховая , ул. Вокзальная, ул. Борковская, Южное шоссе, разворот на ОП КВЦ, Южное шоссе, ул. Полякова, ул. Ворошилова, ул. Дзержинского, ул.40 лет Победы

";22,0;;;;;;;;;;;
108;№ 71в;ОП 14 квартал – ОП ЦЗЧ-2;14 квартал, 17 квартал (прямое направление), Школьная, ул. Тополиная, Магазин Мир продуктов (обратное направление), Цветной б-р, 19 квартал (обратное направление), Студенческая, Кафе Встреча, ул. Полякова, Автопарковая, АвтоВАЗтранс, УВД, Восточное кольцо, Инженерный центр, Энергетическая, Кузнечно-прессовый цех, Чугунно-литейный цех, Ремонтно-кузнечный цех, 10 КПП, Прессовое производство, База УМТС, ППИ, ОС ВАЗа, Заготовительная фабрика, ПТО, ЦЗЧ-2;ул.40 лет Победы, ул. Тополиная, ул. 70 лет Октября, ул. Полякова, Южное шоссе, ул. Борковская, ул. Вокзальная, ул. Цеховая, ул. Северная;16,0;Только в установленных ОП;По регулируемым тарифам;Автобус;"СК
БК";Не ниже ЕВРО-3;Не более 15 лет;да;да;да;"1
4";01.06.2026
;;71/72 ОП 14 квартал-ОП Инженерный центр/ОП ЦЗЧ-2 - ОП 14 квартал;в прямом направлении: 14 квартал, 17 квартал, Школьная, Тополиная, Цветной б-р, Студенческая, Кафе Встреча, Полякова, Автопарковая, Автовазтранс, УВД, Восточное кольцо, Автоваз-ТО, Машиностроительный колледж, Управление кадров ВАЗа, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ, Производство пластмассовых изделий, База УМТС, Прессовое производство, 10 КПП, Ремонтно-кузнечный цех, Чугунно-литейный цех, Кузнечно-прессовый цех, Автозаводстрой, Энергетическая, Инженерный центр.                                                                                      в обратном направлении: ЦЗЧ-2, ПТО, Заготовительная фабрика, Очистные сооружния ВАЗа, ППИ, База УМТС, Прессовое производство, 10 КПП, Ремонтно-кузнечный цех, Чугунно-литейный цех, Кузнечно-прессовый цех, Автозаводстрой, Энергетическая, Инженерный центр, АВТОВАЗ-ТО, Машиностроительный колледж, Управление кадров, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ, Восточное кольцо, УВД, АвтоВАЗтранс, Автопарковая, Полякова, Кафе Встреча, Студенческая, Цветной б-р, Тополиная, Школьная, 14 квартал.;прямое направление: ул. 40 лет Победы, ул. Тополиная, ул. 70 лет Октября, ул. Полякова, Южное шоссе, ул. Цеховая, ул. Вокзальная, ул. Борковская      обратное направление: ул.Северная, ул. Цеховая, ул. Вокзальная, ул. Борковская, Южное шоссе, разворот на ОП КВЦ, Южное шоссе, ул. Полякова, ул. 70 лет Октября, ул.Тополиная ул.40 лет Победы ;22,0;;;;;;;;;;;
109;№ 76в ;ОП 14 квартал – ОП КВЦ;14 квартал, 17 квартал (прямое направление), Школьная, ул. Тополиная (обратное направление), Рябиновый б-р, ул. 70 лет Октября, ул. Л. Яшина, Северо-Восточная, 21 квартал (прямое направление), 20 квартал, 19 квартал, Обводное шоссе, 18а квартал, Автопарковая, АвтоВАЗтранс, УВД, Восточное кольцо, АвтоВАЗ-ТО, Машиностроительный колледж, Управление кадров, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ;ул.40 лет Победы, ул. Тополиная, ул. 70 лет Октября, ул. Л. Яшина, Южное шоссе;13,0;Только в установленных ОП;По регулируемым тарифам;Автобус;"СК
БК";Не ниже ЕВРО-3;Не более 15 лет;да;да;да;"1
6";01.06.2026
;;76/77 ОП 14 квартал - ОП Инженерный центр/ОП ЦЗЧ-2 - ОП 14 квартал;"в прямом направлении: ОП 14 квартал, 17 квартал, Школьная, Рябиновый б-р, 70 лет Октября, ул.Л.Яшина, Северо - Восточная, 21 квартал, 20 квартал, 19 квартал, Обводное шоссе, 18а квартал, Автопарковая, АвтоВАЗТранс, УВД, Восточное кольцо, АвтоВАЗ-ТО, Машиностроительный колледж, Управление кадров, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ, ППИ, База УМТС, Прессовое производство, 10 КПП, Ремонтно-кузнечный цех, Чугунно-литейный цех, Кузнечно-прессовый цех, Автозаводстрой, Энергетическая, Инженерный центр.       в обратном направлении:ЦЗЧ-2, ПТО, Заготовительная фабрика, КВЦ, 1 вставка, 
3 вставка, 5 вставка, 7 вставка, Медсанчасть, Управление кадров, Очистные сооружения ВАЗа, ППИ, База УМТС, Прессовой производство, 10 КПП, Ремонтно-кузнечный центр, 
Чугунно-литейный центр, Кузнечно-прессовый цех, Автозаводстрой, Энергетическая, Инженерный центр, АвтоВАЗ-ТО, Машиностроительный колледж, Управление кадров, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ, Восточное кольцо, УВД, АвтоВАЗтранс, Автопарковая,18а квартал, Обводное шоссе, 19 квартал, 20 квартал, 
Северо-Восточная, ул. Л. Яшина, ул. 70 лет Октября, Рябиновый б-р, ул. Тополиная, Школьная, 14 квартал.
";"прямое направление: ул.Тополиная, ул. 70 лет Октября, ул. Л. Яшина, Южное шоссе, ул. Цеховая, ул. Вокзальная, ул.Борковская. обратное направление: ул.Цеховая, ул. Вокзальная, ул. Борковская, Южное шоссе, разворот на ОП КВЦ , Южное шоссе, ул. Л. Яшина, ул.70 лет Октября, ул. Тополиная , ул.40 лет Победы.

";23,0;;;;;;;;;;;
110;№ 77в;ОП 14 квартал – ОП ЦЗЧ-2;14 квартал, 17 квартал (прямое направление), Школьная, ул. Тополиная (обратное направление), Рябиновый б-р, ул. 70 лет Октября, ул. Л. Яшина, Северо-Восточная, 21 квартал (прямое направление), 20 квартал, 19 квартал, Обводное шоссе, 18а квартал, Автопарковая, АвтоВАЗтранс, УВД, Восточное кольцо, Инженерный центр, Энергетическая, Автозаводстрой, Кузнечно-прессовый цех, Чугунно-литейный цех, Ремонтно-кузнечный цех, 10 КПП, Прессовое производство, База УМТС, ППИ, ОС ВАЗа, Заготовительная фабрика, ПТО, ЦЗЧ-2;ул.40 лет Победы, ул. Тополиная, ул. 70 лет Октября, ул.Л. Яшина, Южное шоссе, ул. Борковская, ул. Вокзальная, ул. Цеховая, ул. Северная;16,7;Только в установленных ОП;По регулируемым тарифам;Автобус;"СК
БК";Не ниже ЕВРО-3;Не более 15 лет;да;да;да;"1
5";01.06.2026
111;№ 5в;ОП Трансформатор – ОП КВЦ;Трансформатор, ТЗТО, Троллейбусное депо, ул. Карбышева, 27 квартал, Дом природы, ул. Победы, Гостиница Волга, (обратно к/т Космос, Горсад), ул. Гагарина, Дворец молодежи, ул. М. Горького, Детский мир, Техучилище (обратное направление), к/т Авангард, ул. Крупской, м-н Автолюбитель, Многопрофильная больница, ул. Мичурина, КВД, ЦРБ (обратное направление), Автозаводское шоссе, Южное шоссе, Треугольник, 21 квартал, 20 квартал, 19 квартал, Обводное шоссе, 18а квартал, Автопарковая, АвтоВАЗтранс, УВД, Восточное кольцо, АВТОВАЗ-ТО, Машиностроительный колледж, Управление кадров, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ;"ул.Индустриальная, ул. Мира, ул. Победы (обратно К. Маркса), ул. Гагарина, ул. Ленина, б-р 50 лет Октября, Автозаводское шоссе, Южное шоссе 
";21,3;Только в установленных ОП;По регулируемым тарифам;Автобус;СК         БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;1             2;01.06.2026
112;№ 9в;ОП Набережная – ОП КВЦ;Набережная, Дворец детского творчества, Музыкальная школа, 8 квартал, б-р Буденного, Дворец спорта, Приморский б-р, Школа имени академика Королева, магазин, Русь, Дом быта Орбита, магазин 1000 мелочей, Дом мод, к/т Сатурн, Универсам, Аптека, Колледж технического и художественного образования, корпус 1, Проектное управление, Учебный центр, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ;ул.Спортивная, пр-т Ст. Разина, б-р Приморский, ул. Революционная, ул. Воскресенская, Южное шоссе;12,0;Только в установленных ОП;По регулируемым тарифам;Автобус;БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;1;01.06.2026
113;№ 11в;ОП Набережная – ОП КВЦ;Набережная, Дворец детского творчества, Музыкальная школа, Детский мир, 7 квартал, 3б квартал, Телецентр, к/т Ставрополь, 4 квартал, Театральная, пр-т Ст. Разина, Лицей искусств, б-р Кулибина, Московский пр-т, Кооперативная, НТЦ, Учебный центр, Медсанчасть, 7 вставка, 5 вставка, 3 вставка, 1 вставка, КВЦ;ул.Спортивная, пр-т Ст. Разина, ул.  Дзержинского, ул. Заставная, Южное шоссе ;12,3;Только в установленных ОП;По регулируемым тарифам;Автобус;БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;1;01.06.2026
1-к;№ 55к;"ОП Фосфор – ОП ТГК – ОП Фосфор
";Фосфор, Химэнергострой, КАТЗ, ТЭЦ, ТГАТК, Синтезкаучук, Химико-технологический колледж, ул. Новозаводская, ул. Октябрьская, ул. Украинская, к/т Авангард, ул. Крупской, Магазин Автолюбитель, Многопрофильная больница, ул. Мичурина, село Тимофеевка (по требованию), ТГК, поселок Загородный, Фосфор;ул.Новозаводская, б-р  50 лет Октября, Автозаводское шоссе, ул. А. Кудашева,Тимофеевское шоссе, Обводное шоссе, ул. Новозаводская;18,1;Только в установленных ОП;По регулируемым тарифам;Автобус;БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;1;14.05.2024
2-к;№ 62к;ОП Легкоатлетический манеж – Кладбище (Поволжское шоссе);Легкоатлетический манеж, ул. Революционная, Вега, ул. Спортивная, Лесопарковое шоссе, Дворец детского творчества, Музыкальная школа, 8 квартал, б-р Буденного, Дворец спорта, Приморский б-р, Школа имени академика Королева, Магазин Русь, Дом быта Орбита, Магазин 1000 мелочей, Дом мод, ул. Юбилейная, б-р Курчатова, Гостиница, Стоматологическая поликлиника, Магазин Мебель, 10 квартал, б-р Луначарского, 15 квартал, Дом офицеров, ул. Полякова, 18а квартал, ТГК, Сосновый бор, Кладбище, ТП-20;ул.Спортивная, пр-т Ст. Разина, б-р Приморский, ул. Революционная, ул. Свердлова, ул. Ворошилова, ул.Полякова, Южное шоссе, Обводное шоссе, Поволжское шоссе;35,9;Только в установленных ОП;По регулируемым тарифам;Автобус;"СК
БК";Не ниже ЕВРО-3;Не более 15 лет;да;да;да;"1
14";05.05.2024
3-к;№ 66к;"ОП ул. Белорусская
– Кладбище 
(Поволжское шоссе)";ул. Белорусская, стадион Строитель, Автовокзал, Автовокзал, ул. Гидростроевская, Магазин Светлана, ул. Жилина, Горсад, Дом природы, 27 квартал, ул. Карбышева, Троллейбусное депо, Спецавтохозяйство, ул. Механизаторов, ул. Громовой, Молокозавод, АТК КуЭСП, Рынок, Дачи, Озерки, АвтоВАЗагрегат, Сосновый бор, Кладбище, ТП-20;ул.Баныкина, ул. Родины, ул.Мира, ул. Комсомольская, ул. Кунеевская, ул.Громовой, Поволжское шоссе;18,1;Только в установленных ОП;По регулируемым тарифам;Автобус;"СК
БК";Не ниже ЕВРО-3;Не более 15 лет;да;да;да;"1
10";05.05.2024
4-к;№ 67к;ОП Зона отдыха – Кладбище (Поволжское шоссе);Зона отдыха, Профилакторий, Профилакторий Парк-Отель, ул. Комзина, Автовокзал, Автовокзал, ул. Гидростроевская, Магазин Светлана, ул. Жилина, Горсад, Дом природы, 27 квартал, ул. Карбышева, Троллейбусное депо, Спецавтохозяйство, ул. Механизаторов, ул. Громовой, Молокозавод, АТК КуЭСП, Рынок, Дачи, Озерки, АвтоВАЗагрегат, Сосновый бор, Кладбище, ТП-20;Лесопарковое шоссе, ул. Комзина, ул.Родины, ул. Мира, ул. Комсомольская, ул. Кунеевская, ул. Громовой, Поволжское шоссе;21,5;Только в установленных ОП;По регулируемым тарифам;Автобус;БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;1;05.05.2024
5-к;№ 84к;ОП ул. Есенина – Кладбище (Поволжское шоссе);ул. Есенина, 3 квартал, МСЧ № 8, Парк, Сквер Вадима Леванова (обратное направление), ул. Л. Чайкиной, Универмаг, Мясокомбинат, Рынок, Дачи, Озерки, АвтоВАЗагрегат, Сосновый бор, Кладбище, ТП-20;ул. Коммунистическая, ул. Механизаторов, ул. Л. Чайкиной, ул. Ярославская, ул. Громовой, Поволжское шоссе;11,1;Только в установленных ОП;По регулируемым тарифам;Автобус;"СК
БК";Не ниже ЕВРО-3;Не более 15 лет;да;да;да;"1
7";05.05.2024
6-к;№ 87к;ОП Площадь Никонова – Кладбище (Поволжское шоссе) – ОП Площадь Никонова;Площадь Никонова, ул. Зеленая, ул. Гидротехническая, Вертикаль, ул. Макарова, Вокзальная, ул. Куйбышева, Школа № 14, поселок Жигулевское море, Сосновый бор, Кладбище, ТП-20, Кладбище, Сосновый бор, поселок Жигулевское море, Школа №14, ул. Куйбышева, Вокзальная, ул. Макарова, ул. Гидротехническая, ул. Зеленая, Площадь Никонова;ул.Никонова, ул.  Шлюзовая, ул. Гидротехническая, ул. Куйбышева, Трасса М5,  Обводное шоссе, Поволжское шоссе, Обводное шоссе, Трасса М5, ул. Куйбышева, ул. Гидротехническая, ул. Шлюзовая, ул.Никонова;24,7;Только в установленных ОП;По регулируемым тарифам;Автобус;"СК
БК";Не ниже ЕВРО-3;Не более 15 лет;да;да;да;"1
4";05.05.2024
1-д;№ 25д;ОП Стадион Торпедо – Северный дачный массив;Стадион Торпедо, Приморский б-р, Школа имени академика Королева, Магазин Русь, Дом быта Орбита, Магазин 1000 мелочей, Дом мод, к/т Сатурн, Универсам, Аптека, Рынок, Южная база, Спецавтоцентр, Инженерный центр, Энергетическая, Спецстрой, ОРПОиН, УМР, ЗМК, База оборудования, Автобаза №98, ТЭЦ, ЦЗЧ-2, ПТО, ОП вдоль дачных массивов (по требованию);ул.Революционная, ул. Дзержинского, ул. Борковская, ул. Северная,  дорога вдоль дачных массивов;22,2;Только в установленных ОП;По регулируемым тарифам;Автобус;БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;1;20.04.2024
2-д;№ 42д;ОП ул. Есенина – Федоровские луга (дачные участки);"ул. Есенина,3 квартал, МСЧ № 8, Парк, Сквер Вадима Леванова (обратное направление), ул. Л. Чайкиной, Универмаг, Мясокомбинат, Рынок, УТЭП, поселок Жигулевское море, Школа № 14,  ул. Куйбышева, Вокзальная, ул. Макарова, Вертикаль (обратное направление), ул. Гидротехническая, ул. Зеленая, Площадь Никонова, Стадион ""Дружба"", Опытный завод, Бетонная, ЛЗЖБИ, Нефтебаза, Дачная, Тракторная, Молодежная, Федоровка (обратное направление), Школа № 12 (обратное направление), 1-ая Яблоневая, 4-ая Яблоневая,  8-ая Яблоневая, 9-ая Садовая, 18-ая Садовая, Федоровские луга";ул.Коммунистическая, ул. Механизаторов, ул. Л. Чайкиной, ул. Ярославская, ул. Громовой, Трасса М5,ул.  Куйбышева, ул. Гидротехническая, ул. Шлюзовая, ул. Никонова, ул. Ингельберга,  Сибирский (обратно Луговой), ул. Кооперативная, дорога вдоль дачных массивов;18,8;Только в установленных ОП;По регулируемым тарифам;Автобус;БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;2;20.04.2024
3-д;№ 56д;ОП ул. Есенина – п/о Копылово (дачные участки);ул. Есенина, 3 квартал, МСЧ № 8, Парк, Сквер Вадима Леванова (обратное направление), ул. Л. Чайкиной, Универмаг, Мясокомбинат, Рынок, УТЭП, пос. Жигулевское море, ВСО-5 (обратно Школа №14), 1-ая дачная, Переправа, 2-ая дачная, Зеленая стоянка;ул.Есенина, ул. Механизаторов, ул. Л. Чайкиной, ул. Ярославская, ул.Громовой  (обратно объездная дорога вдоль жилых домов по ул. Куйбышева), трасса М5, ул. Бурлацкая;14;Только в установленных ОП;По регулируемым тарифам;Автобус;БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;3;20.04.2024
;;*ОП Бетонная – п/о Копылово (дачные участки);"Бетонная, Опытный завод, Стадион ""Дружба"", Площадь Никонова, ул. Зеленая, ул. Гидротехническая, Вертикаль (прямое направление), ул. Макарова, Вокзальная, ул. Куйбышева, Школа № 14 (прямое направление), ВСО-5 (прямое направление), 1-ая дачная, Переправа, 2-ая дачная, Зеленая стоянка";ул.Никонова, ул. Шлюзовая, ул.Гидротехническая, ул. Куйбышева, (обратно объездная дорога вдоль жилых домов по ул. Куйбышева), Трасса М5, ул. Бурлацкая;11,2;Только в установленных ОП;По регулируемым тарифам;Автобус;БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;1;20.04.2024
6-д;№ 252 Ю;ОП Стадион Торпедо – Северный дачный массив;Стадион Торпедо, Парк Победы, Кафе Салют, ДКиТ, Преображенский собор, Молодежный центр, ул. Свердлова, 2-ое комплексное общежитие, 1-ое комплексное общежитие, Рынок, Южная база, Спецавтоцентр, Инженерный центр, Энергетическая, Спецстрой, ОРПОиН, ОП вдоль дачных массивов (по требованию);ул.Революционная, б-р Приморский, ул. Юбилейная, ул. Борковская, ул. Северная, Хрящёвское шоссе, дорога вдоль дачных массивов;21,4;Только в установленных ОП;По регулируемым тарифам;Автобус;БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;2;20.04.2024
7-д;№ 252 Р;ОП Стадион Торпедо – Северный дачный массив;Стадион Торпедо, Дворец спорта, б-р Буденного, 8 квартал, Детский мир, 7 квартал, 3б квартал, Телецентр, к/т Ставрополь, 4 квартал, Театральная, пр-т Ст. Разина, Лицей искусств, Рынок, Южная база, Спецавтоцентр, Инженерный центр, Энергетическая, Спецстрой, ОРПОиН, ОП вдоль дачных массивов (по требованию);ул. Революционная, б-р Приморский,пр-т Ст. Разина, ул.Дзержинского, ул.Борковская, ул. Северная,Хрящёвское шоссе, дорога вдоль дачных массивов;23,4;Только в установленных ОП;По регулируемым тарифам;Автобус;БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;2;20.04.2024
8-д;№ 252 М;ОП Стадион Торпедо – Северный дачный массив;Стадион Торпедо, ул. Революционная, Стадион Торпедо, СК Олимп, поселок Приморский, ул. Фрунзе, 3 квартал, Ленинский пр-т, Дом связи, Пожарное депо, ул. Дзержинского, Московский пр-т, б-р Кулибина, Рынок, Южная база, Спецавтоцентр, Инженерный центр, Энергетическая, Спецстрой, ОРПОиН, ОП вдоль дачных массивов (по требованию);ул. Революционная, б-р Приморский, пр-т Московский, ул. Дзержинского, ул. Борковская, ул. Северная,  Хрящёвское шоссе, дорога вдоль дачных массивов;23,4;Только в установленных ОП;По регулируемым тарифам;Автобус;БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;1;20.04.2024
9-д;№ 252 Я;ОП Стадион Торпедо – Северный дачный массив;Стадион Торпедо, Дворец спорта, б-р Буденного, 8 квартал, Театр Дилижанс, Детский городок, д/с Лесной голосок, д/с Елочка, д/с Веселая семейка, д/с Соловушка, д/с Дубравушка, ул. Ворошилова, Кафе Каскад, 10 квартал, б-р Луначарского Общежитие Современник (прямое направление), б-р Космонавтов, ул. Автостроителей (обратное направление), 16 квартал, Строительная, 17 квартал (прямое направление), Школьная, ул. Тополиная (обратное направление), Рябиновый б-р, ул. 70 лет Октября, ул. Л. Яшина, Северо-Восточная, 21 квартал (прямое направление), 20 квартал, 19 квартал, Обводное шоссе, 18а квартал, Автопарковая, АвтоВАЗтранс, УВД, Восточное кольцо, Инженерный центр, Энергетическая, Спецстрой, ОРПОиН, ОП вдоль дачных массивов (по требованию);ул. Революционная, б-р Приморский, ул. Жукова, ул. Ворошилова, ул. Дзержинского, ул. Тополиная, ул. 70 лет Октября, ул. Л. Яшина, Южное шоссе, ул. Борковская, ул. Северная, Хрящёвское шоссе, дорога вдоль дачных массивов;31,5;Только в установленных ОП;По регулируемым тарифам;Автобус;БК;Не ниже ЕВРО-3;Не более 15 лет;да;да;да;2;20.04.2024
