title;address;"CONCAT(pe.phone, ' ')";director;department
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Гимназия № 35"" ";"445032 г. Тольятти, Бульвар Кулибина, 17";37-06-00 37-06-10  ;Сураева Людмила Михайловна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Лицей № 37 имени А.И.Ясинского""";"445027 г.Тольятти,бульвар Буденного,1 ";35-13-15 ;Муканина Галина Валентиновна ;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Гимназия № 38"" ";"445032 г.Тольятти, бульвар Кулибина,8 ";37-40-27  ;Мищенко Юлия Сергеевна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 40"" ";"445032 г. Тольятти, Ленинский проспект, 42";20-06-01 ;Устинова Ирина Владимировна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа с углубленным изучением отдельных предметов № 41"" ";"445037 г. Тольятти, бульвар Орджоникидзе, 3";32-87-78  ;И.о. директора Урбан Екатерина Геннадьевна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 43 имени Героя Советского Союза Д.Н. Голосова""";"445036 г. Тольятти, Бульвар Курчатова, 15";32-74-01 32-14-33 ;Сергеева Ирина Станиславовна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 44"" ";"445037 г. Тольятти, бульвар Орджоникидзе, 14";32-61-83  ;Марчук Марина Александровна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа с углубленным изучением отдельных предметов № 45""";"445024 г. Тольятти, бульвар Кулибина, 4";37-19-03  ;Бухтояров Михаил Сергеевич;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 46 имени первого главного конструктора Волжского автомобильного завода В.С. Соловьева""";"445036 г. Тольятти, бульвар Курчатова, 16";32-01-33  ;Чубенко Лариса Анатольевна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Гимназия  № 48 имени Героя России О.Н.Долгова""";"445036 г. Тольятти, ул. Дзержинского, 51";32-09-66 32-71-02 32-09-62 ;Кузнецова Оксана Владимировна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа имени академика Сергея Павловича Королёва""";"445028 г. Тольятти, бульвар Королева, 3";35-93-77 ;Подоляко Татьяна Николаевна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Лицей № 51"" ";"445037 г. Тольятти, ул. Фрунзе, 12";35-23-31  ;Щелакова Ирина Валентиновна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 56"" ";"445040 г. Тольятти, ул. Ворошилова, 28";33-35-05  ;Кирсанова Наталия Анатольевна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа с углубленным изучением отдельных предметов № 58""";"445051 г. Тольятти, ул. Фрунзе, 2";34-99-26  ;Борисова Ольга Олеговна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 59 имени Г.К. Жукова"" ";"445051 г. Тольятти, пр - кт Степана Разина, 65";34-71-01  ;Рожко Елена Николаевна;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа с углубленным изучением отдельных предметов № 61""  ";"445037, г. Тольятти, ул. Свердлова, 23";32-64-50  ;Кордик Андрей Викторович;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти ""Школа № 62 имени Маршала Советского Союза Василия Ивановича Чуйкова""";"445039 г. Тольятти, ул. Ворошилова, 37";33-99-54 33-79-98 ;Голикова Светлана Викторона;Департамент образования
"Муниципальное бюджетное общеобразовательное учреждение городского округа Тольятти  ""Школа № 66"" ";"445039 г. Тольятти, ул. Автостроителей, 84";30-86-16 ;Воронина Валентина Павловна;Департамент образования
