№ п/п;Номер в реестре;Кадастровый номер;Вид объекта;Наименование;Адрес;Площадь (текущая);Вид права
1544;П1300000010234;63:09:0301146:1262;Нежилое помещение;Нежилое помещение: - 1 этаж, поз.  № 6, 9, 11, 13-26, 29, 32, 33;Самарская область, Центральный район, г. Тольятти, ул. Карла Маркса, д. 27А, комн. 1002;433,3;Казна
1545;П1300000007248;;Нежилое помещение;Нежилое помещение 1000 (ЦТП №27): 1 этаж, поз. №№ 1, 2, 13, 14, 19, 20, 21, 22, 23;Самарская область, Центральный район, г. Тольятти, ш. Автозаводское, д. 3, стр. 3, помещение 1000;253,5;Казна
1546;П1010000072938;63:09:0301101:2515;Нежилое помещение;Нежилое помещение: 1 этаж, поз. №№ 1, 2, 3, 4, 4а, 5, 5а, 6, 7;Самарская область, Центральный район, г. Тольятти, ул. Мира, д. 41, комн. 1001;58,1;Казна
1547;П1300000012847;63:09:0301174:3903;Нежилое помещение;Нежилое помещение: 1 этаж, поз. № 25;Самарская область, Центральный район, г. Тольятти, ул. Ленина, д. 84;15,3;Казна
1548;П1300000014358;63:09:0201055:5759;Нежилое помещение;Нежилое помещение: 1 этаж, поз. №№ 69, 70, 71, 72, 72а 73, 73а, 74, 75, 76, 77;Самарская область, Комсомольский район, г. Тольятти, ул. Академика Вавилова, д. 64;144,2;Казна
1549;П1300000012966;63:09:0101176:2763;Нежилое помещение;"Нежилое помещение: на - 1 этаже № 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56; на 1 этаже  № 4";Самарская область, Автозаводский район, г. Тольятти, ул. Революционная, д. 58А;2137,6;Казна
1550;П1300000013830;63:09:0201059:14037;Нежилое помещение;Нежилое помещение 1008: -1 этаж, поз. № 49а, 49б, 49в, 49г;Самарская область, Комсомольский район, г. Тольятти, ул. Матросова, д. 56, Нежилое помещение 1008;28,7;Казна
1551;П1300000011169;63:09:0301155:4303;Нежилое помещение;Нежилое помещение 2004: 2 этаж, поз. № 4;Самарская область, Центральный район, г. Тольятти, ул. Карбышева, д. 17, комн. 2004;18,4;Казна
1552;П1300000012840;63:09:0310003:1222;Нежилое помещение;Нежилое помещение: 1 этаж, поз. № 40-45, 45а, 45б, 45в, 45г, 45д, 45е;Самарская область, Комсомольский район, г. Тольятти, ул. Новосадовая, д. 23;70,5;Казна
1553;П1300000011026;63:09:0301174:4409;Нежилое помещение;Помещение насосной станции: + 1 этаж  №№ 20,21;Самарская область, Центральный район, г. Тольятти, ул. Чапаева, д. 136;96,1;Казна
1554;П1300000011243;63:09:0310003:1348;Нежилое помещение;"Нежилое помещение на + 1 этаже  №  46, 47; + 2 этаже № 33а, 49; + 3 этаже № 48";Самарская область, Комсомольский район, г. Тольятти, ул. Новосадовая, д. 23;69,8;Казна
1555;П1010000049724;63:09:0201060:5131;Нежилое помещение;Нежилое помещение 1039;Самарская область, Комсомольский район, г. Тольятти, ул. Гидротехническая, д. 23, помещение 1039;64,3;Казна
1556;П1300000013008;63:09:0101159:10294;Нежилое помещение;1 этаж, поз. № 52;Самарская область, Автозаводский район, г. Тольятти, б-р Кулибина, д. 15;12,7;Казна
1557;П1300000010082;63:09:0101159:1953;Нежилое помещение;"1 этаж, поз. № 51;  2 этаж, поз. № 30";Самарская область, Автозаводский район, г. Тольятти, б-р Кулибина, д. 15;30,8;Казна
1558;П1300000010793;63:09:0301105:788;Нежилое помещение;Нежилое помещение 5007: 5 этаж, поз. №№ 6, 7, 8, 9, 10, 11;Самарская область, Центральный район, г. Тольятти, ул. Белорусская, д. 23, помещ. 5007;43,6;Казна
1559;П1300000011120;63:09:0101151:1249;Нежилое помещение;Нежилое помещение: 1 этаж, поз. № 8, 9, 10, 11, 12, 13, 35;Самарская область, Автозаводский район, г. Тольятти, ул. 40 лет Победы, д. 88;43,4;Казна
1560;П1300000014127;63:09:0101151:6634;Нежилое помещение;Нежилое помещение 1013: 1 этаж, поз. №№ 1, 2;Самарская область, Автозаводский район, г. Тольятти, ул. Автостроителей, д. 57, комн. 1013;16,9;Казна
1561;П1300000013849;63:09:0301153:2278;Нежилое помещение;Нежилое помещение: подземный этаж № 1, поз. №№ 2, 3, 4, 5, 6;Самарская область, Центральный район, г. Тольятти, ул. Карбышева, д. 4, Нежилое помещение 1006;429,2;Казна
1562;П1010000058644;63:09:0101162:5066;Нежилое помещение;Нежилое помещение 1305;Самарская область, Автозаводский район, г. Тольятти, б-р Луначарского, д. 8, помещение 1305;72,5;Казна
1563;П1300000010014;63:09:0301153:1089;Нежилое помещение;Нежилое помещение на 1 этаже №№ 22, 23, 24, 25, 26, 27, 34, 34а;Самарская область, Центральный район, г. Тольятти, ул. Мира, д. 158, Нежилое помещение 1001;83,6;Казна
1564;П1300000010064;63:09:0301147:2205;Нежилое помещение;"Нежилое помещение:на - 1 эт. № 1-13, 1а, 2а, 3а, 4а, 5а,  13а; + 1 эт. № 1-102, 57а, 67а, 68а, 69а, 87а; + 2 эт. № 1-55, 63, 65-99; + 3 эт. № 1-38";Самарская область, Центральный район, г. Тольятти, пл. Свободы, д. 4;4906,5;Казна
1565;П1010000077207;63:09:0101166:10289;Нежилое помещение;Нежилое помещение: 14 этаж поз.№№ 1-5,1а,1б,1в, 15 этаж поз. №№ 1-6;Самарская область, Автозаводский район, г. Тольятти, пр-кт Степана Разина, д. 25, пом. 89;149,6;Казна
1566;П1300000010560;63:09:0201057:15854;Нежилое помещение;ЦТП-10,  1 этаж, поз. № 1-3;Самарская область, Комсомольский район, г. Тольятти, ул. Лизы Чайкиной, д. 41, стр. А;190,1;Казна
1567;П1300000013430;63:09:0101162:11142;Нежилое помещение;н3 3 этаж, поз. № 27;Самарская область, Автозаводский район, г. Тольятти, ул. Свердлова, д. 28;34,3;Казна
1568;П1300000011141;63:09:0301161:674;Нежилое помещение;Нежилое помещение: - 1 этаж  № 3, 8, 13, 14, 15, 16, 17, 18;Самарская область, Центральный район, г. Тольятти, ул. Мира, д. 23;124,4;Казна
1569;П1010000079505;63:09:0101157:10088;Нежилое помещение;Нежилое помещение 1107;Самарская область, Автозаводский район, г. Тольятти, ул. Тополиная, д. 15, помещение 1107;64,5;Казна
1570;П1300000009804;63:09:0101163:4863;Нежилое помещение;Нежилое помещение: 1 этаж поз.17-21;Самарская область, Автозаводский район, г. Тольятти, ул. Революционная, д. 24, комн. 1251;32,7;Казна
1571;П1300000014446;63:09:0101164:2695;Нежилое помещение;Нежилое помещение № 2001 на 2 этаже поз. №№ 316-409, 412-506, 509-550;Самарская область, г. Тольятти, ул. Революционная, д. 11, корп. 2 помещение № 2001;1430,2;Казна
1572;П1300000009802;63:09:0101159:9945;Нежилое помещение;ЦТП № 21, на - 1 эт. № 9, 10, 11;Самарская область, Автозаводский район, г. Тольятти, ул. Дзержинского, д. 77, стр. А;164;Казна
1573;П1300000009814;63:09:0101175:3388;Нежилое помещение;Нежилое помещение 1005: 1 этаж, поз. №№ 14-19                          ;Самарская область, Автозаводский район, г. Тольятти, ул. Фрунзе, д. 18, комн. 1005;41,8;Казна
1574;П1300000009617;63:09:0306036:913;Нежилое помещение;Нежилое помещение (Подвал № 1), на - 1 этаже № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25  (объект ГО № 434-63);Самарская область, Центральный район, г. Тольятти, проезд Тупиковый, д. 3;913,9;Казна
1575;П1300000010569;63:09:0201057:15693;Нежилое помещение;ЦТП-9,  1 этаж, поз. № 1, 2, 3;Самарская область, Комсомольский район, г. Тольятти, ул. Громовой, д. 6, стр. А;187,7;Казна
1576;П1300000010066;63:09:0301136:3574;Нежилое помещение;Нежилое помещение на + 1 этаже № 21, 22, 23, 26, 27, 28, 29;Самарская область, Центральный район, г. Тольятти, ул. Толстого, д. 21;76,6;Казна
1577;П1300000012794;63:09:0301174:3991;Нежилое помещение;Нежилое помещение: 1 этаж, поз. № 20;Самарская область, Центральный район, г. Тольятти, ул. Ленина, д. 84;17,7;Казна
1578;П1300000013367;63:09:0301159:1983;Нежилое помещение;Нежилое помещение: 1 этаж, поз. №№ 8, 9, 10, 11, 12;Самарская область, Центральный район, г. Тольятти, ул. Жилина, д. 24;43,2;Казна
1579;П1300000010079;63:09:0101159:10012;Нежилое помещение;"МОП,  1 этаж, поз. №  44б, 47, 48, 49, 50, 54, 56, 58, 58а, 63, 68;    2 этаж, поз.   № 14а, 15, 16, 17, 18, 25а, 27, 47";Самарская область, Автозаводский район, г. Тольятти, б-р Кулибина, д. 15;168,6;Казна
1580;П1300000011264;63:09:0201057:14498;Нежилое помещение;Нежилое помещение (МОП): 2 этаж, поз. 21, 22, 23, 28, 30, 35;Самарская область, Комсомольский район, г. Тольятти, ул. Лизы Чайкиной, д. 43, стр. А;113,1;Казна
1581;П1300000011009;63:09:0101167:1228;Нежилое помещение;Нежилое помещение: 1 этаж , поз. № 22, 23, 24, 25, 26, 27, 28;Самарская область, Автозаводский район, г. Тольятти, ул. 40 лет Победы, д. 126;58,2;Казна
1582;П1300000009487;;Нежилое помещение;1 этаж, поз. № 1а, 2а, 2, 3а, 4, 5, 19, 20, 21;Самарская область, Автозаводский район, г. Тольятти, ул. Свердлова, д. 10;64,8;Казна
1583;П1300000012392;63:09:0101160:543;Нежилое помещение;"Нежилое помещение: - 1 подвал этаж, поз. № 86,87,88,89,91,92,94,95,96,97; 1 этаж, поз.№432-455,455а,455б,455в,456,456а,456б,456в,456г,456д,456е,456ж,457-495; 2 этаж, поз.№458-500";Самарская область, Автозаводский район, г. Тольятти, ул. Революционная, д. 7, корп. 3;3499,8;Казна
1584;П1300000014222;63:09:0101180:10709;Нежилое помещение;Нежилое помещение № 3003, этаж № 3;Самарская область, Автозаводский район, г. Тольятти, б-р Приморский, д. 31, комн. 3003;27,7;Казна
1585;П1300000013355;63:09:0101164:2004;Нежилое помещение;Нежилое помещение (1 этаж поз. № 307, 308, 309, 310, 311, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323);Самарская область, Автозаводский район, г. Тольятти, ул. Революционная, д. 11, корп. 2;99,8;Казна
1586;П1300000009916;63:09:0101170:10502;Нежилое помещение;Нежилое помещение н2 на 1 этаже №№ 12, 13, 14, 15, 16;Самарская область, Автозаводский район, г. Тольятти, ул. Юбилейная, д. 61;43,9;Казна
1587;П1300000013669;63:09:0301114:1108;Нежилое помещение;Нежилое помещение н2 - гараж, на 1 этаже поз. №№ 1, 2, 5, 6, 7;Самарская область, Центральный район, г. Тольятти, б-р Ленина, д. 19, стр. А;132,3;Казна
1588;П1010000075989;63:09:0101170:8366;Нежилое помещение;Нежилое помещение 1254;Самарская область, Автозаводский район, г. Тольятти, ул. Фрунзе, д. 17, комн. 1254;62,5;Казна
1589;П1300000014398;63:09:0101167:3001;Нежилое помещение;Нежилое помещение, 1 этаж, поз. №№ 1, 2, 3, 4, 5, 6;Самарская область, Автозаводский район, г. Тольятти, ул. 40 лет Победы, д. 100, комн. 1003;47,7;Казна
1590;П1300000010297;63:09:0301137:2812;Нежилое помещение;Нежилое помещение: 1 этаж поз. № 1-6;Самарская область, Центральный район, г. Тольятти, ул. Ленина, д. 54, помещ. 1;52,4;Оперативное управление
1591;П1300000011223;63:09:0301155:4556;Нежилое помещение;Нежилое помещение: - 1 Цокольный этаж, 1 уровень, поз. № 46, 51, 51а, 51б, 51в, 55, 56, 56а;Самарская область, Центральный район, г. Тольятти, ул. Карбышева, д. 25, комн. 1004;81,1;Оперативное управление
1592;П1300000010044;63:09:0101166:10302;Нежилое помещение;Нежилое помещение: 1 этаж, поз. № 20-26;Самарская область, Автозаводский район, г. Тольятти, б-р Туполева, д. 11;57,3;Оперативное управление
1593;П1300000009929;63:09:0101176:10330;Нежилое помещение; 2 этаж, поз. № 36, 38-43, 49, 53, 54, 55;Самарская область, Автозаводский район, г. Тольятти, ул. Революционная, д. 72;407,5;Оперативное управление
1594;П1300000010247;63:09:0301140:3401;Нежилое помещение;Нежилое помещение: - 1 этаж, поз. №№ 42-46, 50-56;Самарская область, Центральный район, г. Тольятти, ул. Новопромышленная, д. 15;178,8;Оперативное управление
1595;П1300000009880;63:09:0101161:1697;Нежилое помещение;Нежилое помещение: 1 этаж  № 1, 2, 7, 8;Самарская область, Автозаводский район, г. Тольятти, б-р Курчатова, д. 12, пом. Б/Н (1001);105,7;Оперативное управление
1596;П1300000009879;63:09:0101161:1696;Нежилое помещение;Нежилое помещение: на + 1 этаже № 3, 9, 15, 16;Самарская область, Автозаводский район, г. Тольятти, б-р Курчатова, д. 12, комн. 1002;163,2;Оперативное управление
1597;П1300000010208;63:09:0301138:3167;Нежилое помещение;Нежилое помещение 1002: 1 этаж, поз.  № 13, 14, 15, 16, 17, 18, 19, 20, 21;Самарская область, Центральный район, г. Тольятти, ул. Лесная, д. 60;121,6;Оперативное управление
1598;П1300000009681;63:09:0101160:544;Нежилое помещение;Нежилое помещение: 2 этаж, поз.  № 501, 502, 503, 504, 505;Самарская область, Автозаводский район, г. Тольятти, ул. Революционная, д. 7, корп. 3;189,2;Оперативное управление
1599;П1300000011244;63:09:0301164:990;Нежилое помещение;Нежилое помещение Б/Н (1000): 1 этаж, поз.  № 68, 68а;Самарская область, Центральный район, г. Тольятти, ул. Ушакова, д. 64, пом. Б/Н (1000);22,2;Оперативное управление
1600;П1300000010418;63:09:0301154:924;Нежилое помещение;Нежилое помещение: на  2 этаже № 1-6, 6а, 6б, 7, 7а, 15, 15а, 16, 16а, 17-20, 31а, 31б, 32, 32а, 33, 34;Самарская область, Центральный район, г. Тольятти, ул. Баныкина, д. 66;602,8;Оперативное управление
1601;П1300000012110;63:09:0301157:3128;Нежилое помещение;Нежилое помещение: 1 этаж, поз. № 90, 91;Самарская область, Центральный район, г. Тольятти, б-р Молодежный, д. 37;5,2;Оперативное управление
1602;П1300000011567;63:09:0101162:1638;Нежилое помещение;Нежилое помещение: 1 этаж  № 1, 2, 3, 6, 7, 8, 9, 10, 11, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26;Самарская область, Автозаводский район, г. Тольятти, б-р Луначарского, д. 1;196,4;Оперативное управление
1603;П1300000008822;63:09:0301139:4685;Нежилое помещение;Нежилое помещение, 1 этаж, поз. №№ 49, 49а;Самарская область, Центральный район, г. Тольятти, ул. Октябрьская, д. 1;34,1;Оперативное управление
