№ п/п;Номер в реестре;Кадастровый номер;Вид объекта;Наименование;Адрес;Площадь (текущая);Вид права
1493;П1300000014096;63:09:0301101:2298;Нежилое помещение;Нежилое помещение 1004: 1 этаж, поз. №№ 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 100;Самарская область, Центральный район, г. Тольятти, ул. Советская, д. 63, помещение 1004;119,9;Казна
1494;П1300000011572;63:09:0101169:6470;Нежилое помещение;3 этаж, поз. № 16;Самарская область, Автозаводский район, г. Тольятти, ул. Маршала Жукова, д. 26;108,6;Казна
1495;П1010000066497;63:09:0101156:4028;Нежилое помещение;Нежилое помещение 1056;Самарская область, Автозаводский район, г. Тольятти, б-р Татищева, д. 13, комн. 1056;33,4;Казна
1496;П1010000070681;63:09:0301160:1794;Нежилое помещение;Нежилое помещение 1036;Самарская область, Центральный район, г. Тольятти, ул. Мира, д. 76, комн. 1036;31,1;Казна
1497;П1300000014433;63:09:0301083:3041;Нежилое помещение;Нежилое помещение 1001;Самарская область, Центральный район, г. Тольятти, ул. Советская, д. 51А;245,9;Казна
1498;П1300000014372;63:09:0101167:5565;Нежилое помещение;Нежилое помещение: 1 этаж, поз. №№ 14, 14а, 15, 15а, 16, 17;Самарская область, Автозаводский район, г. Тольятти, ул. 40 лет Победы, д. 98, помещение №1006;41,8;Казна
1499;П1300000010895;63:09:0301150:2577;Нежилое помещение;Нежилое помещение 1005: 1 этаж, поз. №№ 16, 17, 34, 35;Самарская область, Центральный район, г. Тольятти, ул. Победы, д. 35, помещ. 1005;59,8;Казна
1500;П1300000010077;63:09:0101159:9761;Нежилое помещение;"МОП,   1 этаж, поз. № 64,64а;    2 этаж, поз. № 12,46";Самарская область, Автозаводский район, г. Тольятти, б-р Кулибина, д. 15;138;Казна
1501;П1300000013317;63:09:0201062:5568;Нежилое помещение;Нежилое помещение: 1 этаж, поз. №№ 27-52, 2 этаж, поз. №№ 24-27;Самарская область, Комсомольский район, г. Тольятти, проезд Майский, д. 1;570,3;Казна
1502;П1300000013771;63:09:0201059:14027;Нежилое помещение;Нежилое помещение 1008: подземный этаж № 1, поз. №№ 2, 4, 8, 9, 15 (МОП);Самарская область, Комсомольский район, г. Тольятти, ул. Лизы Чайкиной, д. 81, комн. 1008;16,8;Казна
